__contest__,__group__,BIB,ID,WithStatus([AUTORANK.p]),DisplayName,GenderTI,Swim,Transition1,Bike,Transition2,Run,TIME
#1_Half Distance Triathlon,,158,17,146.,"Kaar, Isabel",Female,39:05,04:25,3:55:58,03:13,2:50:14,7:32:55
#1_Half Distance Triathlon,,212,210,147.,"O Brien, Pa",Open,39:49,06:38,3:53:49,06:51,2:46:03,7:33:10
#1_Half Distance Triathlon,,89,84,148.,"Costello, Conor",Open,42:17,02:30,4:09:21,02:34,2:36:32,7:33:14
#1_Half Distance Triathlon,,160,121,149.,"Giltinan, Micheál",Open,39:28,01:30,4:21:06,01:29,2:31:30,7:35:03
#1_Half Distance Triathlon,,100,65,150.,"Byrne, Paul",Open,41:57,05:49,4:13:42,05:01,2:29:08,7:35:37
#1_Half Distance Triathlon,,176,6,151.,"de Boer - van Genesen, Anke",Female,38:50,03:10,4:03:08,03:59,2:47:46,7:36:53
#1_Half Distance Triathlon,,175,172,152.,"Maher, Patrick",Open,31:55,03:14,4:00:26,04:33,2:57:00,7:37:08
#1_Half Distance Triathlon,,164,171,153.,"MacNicholas, Eamon",Open,47:08,10:00,4:05:03,06:25,2:29:18,7:37:54
#1_Half Distance Triathlon,,116,78,154.,"Cochrane, Tom",Open,38:51,04:01,4:03:32,03:12,2:48:41,7:38:17
#1_Half Distance Triathlon,,42,211,155.,"O Donnell, Ben",Open,56:29,03:16,4:08:44,01:21,2:31:56,7:41:46
#1_Half Distance Triathlon,,11,107,156.,"Elliott, Peter",Open,45:30,05:08,4:12:53,02:59,2:35:20,7:41:50
#1_Half Distance Triathlon,,95,145,157.,"Keating, Yury",Open,42:29,03:12,4:29:31,02:40,2:25:11,7:43:03
#1_Half Distance Triathlon,,150,27,158.,"McElhinney, Orla",Female,50:42,08:14,4:23:54,05:49,2:14:34,7:43:13
#1_Half Distance Triathlon,,177,88,159.,"Czajka, Tomasz",Open,44:06,01:29,4:20:19,05:36,2:33:22,7:44:52
#1_Half Distance Triathlon,,20,38,160.,"Seacy, Elaine",Female,41:39,02:32,4:05:25,03:33,2:53:02,7:46:11
#1_Half Distance Triathlon,,7,167,161.,"Lynch, Diarmuid",Open,42:42,05:53,4:38:51,03:38,2:18:01,7:49:05
#1_Half Distance Triathlon,,66,142,162.,"Johnson, Dermot",Open,54:14,04:20,4:21:37,04:00,2:26:45,7:50:56
#1_Half Distance Triathlon,,52,81,163.,"Conrad, Michard",Open,36:03,01:13,3:57:52,05:17,3:10:32,7:50:57
#1_Half Distance Triathlon,,119,37,164.,"Samsel, Agnieszka",Female,55:33,08:32,3:49:29,07:40,2:50:36,7:51:50
#1_Half Distance Triathlon,,27,247,165.,"Ryan, Stephen",Open,39:49,05:11,4:34:28,04:05,2:28:26,7:51:59
#1_Half Distance Triathlon,,98,117,166.,"Fox, Ronan",Open,41:37,02:55,4:15:25,04:45,2:47:21,7:52:03
#1_Half Distance Triathlon,,184,46,167.,"Zoethout, Aleksandra",Female,45:07,05:19,4:03:06,03:37,2:56:29,7:53:38
#1_Half Distance Triathlon,,82,226,168.,"OKelly, Aidan",Open,53:37,06:05,4:18:26,04:45,2:31:50,7:54:43
#1_Half Distance Triathlon,,125,98,169.,"Donnelly, Michael",Open,33:07,04:45,4:19:46,03:56,2:54:38,7:56:12
#1_Half Distance Triathlon,,70,238,170.,"Ramsey, Mark",Open,38:43,02:10,4:03:37,03:05,3:09:57,7:57:32
#1_Half Distance Triathlon,,39,96,171.,"Depla, Bert",Open,44:42,05:37,4:01:26,07:21,2:58:46,7:57:52
#1_Half Distance Triathlon,,105,176,172.,"Mc sweeney, Terence",Open,49:47,03:54,4:35:18,05:49,2:27:26,8:02:14
#1_Half Distance Triathlon,,202,126,173.,"Harney, John",Open,43:38,06:43,4:30:21,04:45,2:37:46,8:03:13
#1_Half Distance Triathlon,,72,36,174.,"Raftery, Nicola",Female,58:45,05:14,4:34:58,06:07,2:19:10,8:04:14
#1_Half Distance Triathlon,,62,266,175.,"Walsh, Paul",Open,41:35,06:28,4:36:16,05:20,2:34:57,8:04:36
#1_Half Distance Triathlon,,145,174,176.,"Mc Neill, James",Open,48:29,10:12,4:21:51,03:15,2:41:40,8:05:27
#1_Half Distance Triathlon,,133,112,177.,"Fitzsimons, Nigel",Open,45:00,07:03,4:14:11,06:43,2:58:28,8:11:25
#1_Half Distance Triathlon,,132,50,178.,"Blake, Philip",Open,45:26,07:21,4:13:31,09:54,3:00:49,8:17:01
#1_Half Distance Triathlon,,181,253,179.,"Sherlock, James",Open,47:05,05:45,4:35:48,04:49,2:57:24,8:30:51
#1_Half Distance Triathlon,,196,4,180.,"Condron, Chloe",Female,45:46,06:09,4:27:21,05:54,3:40:18,9:05:28
#1_Half Distance Triathlon,,4,183,DNF,"McDonnell, Michael",Open,41:41,03:28,,,,
#1_Half Distance Triathlon,,17,154,DNF,"Killeen, Cormac",Open,33:29,01:53,3:11:37,02:34,,
#1_Half Distance Triathlon,,22,82,DNF,"Conway, Stephen",Open,50:07,04:10,,,,
#1_Half Distance Triathlon,,24,19,DNF,"Kearney, Ann Carmel",Female,50:47,02:47,4:51:59,02:32,,
#1_Half Distance Triathlon,,26,146,DNF,"Keith Lee, Keith Lee",Open,51:55,07:14,,,,
#1_Half Distance Triathlon,,40,233,DNF,"Power, Brian",Open,45:17,01:32,3:55:51,03:50,,
#1_Half Distance Triathlon,,47,114,DNF,"Flynn, Colm",Open,40:23,03:41,3:52:31,00:26,,
#1_Half Distance Triathlon,,48,92,DNF,"Daskauskas, Gediminas",Open,37:19,02:32,3:11:33,01:55,,
#1_Half Distance Triathlon,,56,198,DNF,"Murphy, Stephen",Open,39:08,05:30,3:53:54,07:56,,
#1_Half Distance Triathlon,,58,223,DNF,"ODwyer, David",Open,39:16,04:33,3:11:12,02:19,,
#1_Half Distance Triathlon,,71,91,DNF,"Daniels, Ian",Open,37:08,04:54,4:30:11,02:45,,
#1_Half Distance Triathlon,,76,60,DNF,"Brosnan, Tj",Open,37:18,03:30,3:24:40,02:04,,
#1_Half Distance Triathlon,,99,150,DNF,"Kennedy, John",Open,39:18,04:23,,,,
#1_Half Distance Triathlon,,108,224,DNF,"O'Flaherty, Michael",Open,53:25,01:48,4:10:08,,,
#1_Half Distance Triathlon,,115,55,DNF,"Boyle, Maurice",Open,34:40,03:40,4:44:21,05:35,,
#1_Half Distance Triathlon,,139,185,DNF,"McLoughlin, Michael",Open,43:39,06:56,4:37:19,02:33,,
#1_Half Distance Triathlon,,141,227,DNF,"O'Reilly, Gary",Open,54:36,06:03,4:11:18,06:32,,
#1_Half Distance Triathlon,,149,220,DNF,"O'Connor, Garry",Open,57:03,01:55,4:50:12,,,
#1_Half Distance Triathlon,,168,127,DNF,"Harrington, Micheal",Open,40:00,11:10,4:53:48,07:28,,
#1_Half Distance Triathlon,,169,16,DNF,"Jones, Gillian",Female,39:21,03:13,4:22:57,08:20,,
#1_Half Distance Triathlon,,171,201,DNF,"Murphy, Colin",Open,38:25,03:55,4:14:59,08:24,,
#1_Half Distance Triathlon,,180,193,DNF,"Mora Kelly, Gerry",Open,52:49,03:16,4:28:16,02:03,,
#1_Half Distance Triathlon,,190,14,DNF,"Hynes, Maeve",Female,45:55,01:52,3:55:21,,,
#1_Half Distance Triathlon,,193,134,DNF,"Hilliard, Noel",Open,39:12,03:43,4:32:25,03:44,,
#1_Half Distance Triathlon,,205,22,DNF,"Kirwan, Sabrina",Female,1:30:25,,,,,
#1_Half Distance Triathlon,,206,33,DNF,"OHalloran, Debbie",Female,56:26,03:21,5:00:49,03:29,,
#1_Half Distance Triathlon,,210,30,DNF,"Novillo, Luciana",Female,45:26,05:16,5:11:46,04:22,,
#1_Half Distance Triathlon,,294,213,DNF,"Ó Leidhin, Mícheál",Open,40:58,01:41,4:47:22,03:16,,
#1_Half Distance Triathlon,,144,68,DNF,"Caffrey, Paul",Open,55:09,03:47,,,5:40:27,5:40:27
