__contest__,__group__,BIB,ID,WithStatus([TotalRankp]),FLNAME,SEX,AGEGROUP1.NAMESHORT,ATF2,Swim,Transition1,Cycle,Transition2,Run,TIME
#1_Sprint Distance,,131,469,1.,Kevin Gilleece,m,M40-44,Cork Triathlon Club,13:41:02,00:00:41,00:30:29,00:00:32,00:22:09,01:04:51
#1_Sprint Distance,,134,472,2.,Christopher Horgan,m,M20-24,Mallow TC,13:40:46,00:00:25,00:32:10,00:00:29,00:21:52,01:05:41
#1_Sprint Distance,,190,528,3.,Justin Ryan,m,M30-34,Tried and Tested ,13:40:43,00:00:27,00:32:59,00:00:27,00:21:58,01:06:33
#1_Sprint Distance,,153,491,4.,Michael Lyons,m,M35-39,Blackwater Triathlon Club,13:41:24,00:00:46,00:34:18,00:00:32,00:24:02,01:11:02
#1_Sprint Distance,,173,511,5.,Simon Bedford,m,M35-39,,13:41:51,00:00:36,00:34:21,00:00:41,00:24:47,01:12:15
#1_Sprint Distance,,160,566,6.,John O Connell,m,M40-44,,13:41:53,00:00:32,00:33:58,00:00:43,00:25:41,01:12:45
#1_Sprint Distance,,191,529,7.,Fergal Sargent,m,M40-44,,13:41:52,00:00:43,00:35:32,00:00:45,00:24:05,01:12:55
#1_Sprint Distance,,176,514,8.,Michael O'Brien,m,M45-49,Waterford Triathalon Club,13:43:16,00:00:53,00:32:23,00:00:44,00:25:59,01:13:13
#1_Sprint Distance,,121,459,9.,Conor Coleman,m,M45-49,South Coast TC 2024,13:42:30,00:00:25,00:34:10,00:00:29,00:25:43,01:13:15
#1_Sprint Distance,,172,510,10.,Brian O hagan,m,M35-39,Blackwater Triathlon Club,13:42:16,00:00:39,00:35:27,00:00:31,00:25:25,01:14:16
#1_Sprint Distance,,155,493,11.,Tim Mahony,m,M45-49,Midleton Cycling and Triathlon Club,13:42:56,00:00:35,00:35:50,00:00:41,00:27:40,01:17:40
#1_Sprint Distance,,185,523,12.,John Rogers,m,M45-49,South Coast TC 2024,13:42:17,00:01:07,00:38:06,00:00:42,00:26:14,01:18:22
#1_Sprint Distance,,161,499,13.,Eugene McCarthy,m,M50-54,South Coast TC 2024,13:42:37,00:00:35,00:38:48,00:01:00,00:25:44,01:18:43
#1_Sprint Distance,,104,442,14.,Martin Bohane,m,M50-54,Cork Triathlon Club,13:43:50,00:00:32,00:35:45,00:00:43,00:28:18,01:19:05
